id,psgc,type,name
1350617011,,4,Catucdaan
1350617012,,4,Cuancabal
1350617013,,4,Cuantacla
1350617014,,4,Daclapan
1350617015,,4,Dardarat
1350617016,,4,Lipit
1350617017,,4,Maradodon
1350617018,,4,Margaay
1350617019,,4,Nagsantaan
1350617020,,4,Nagsincaoan
1350617021,,4,Namruangan
1350617022,,4,Pila
1350617023,,4,Pug-Os
1350617024,,4,Quezon
1350617025,,4,Reppaac
1350617026,,4,Rizal
1350617027,,4,Sabang
1350617028,,4,Sagayaden
1350617029,,4,Salapasap
1350617030,,4,Salomague
1350617031,,4,Sisim
1350617032,,4,Turod-Patac
1350617033,,4,Turod
1350618000,,3,Candon City
1350618001,,4,Allangigan Primero
1350618002,,4,Allangigan Segundo
1350618003,,4,Amguid
1350618004,,4,Ayudante
1350618005,,4,Bagani Camposanto
1350618006,,4,Bagani Gabor
1350618007,,4,Bagani Tocgo
1350618008,,4,Bagani Ubbog
1350618009,,4,Bagar
1350618010,,4,Balingaoan
1350618011,,4,Bugnay
1350618012,,4,Calaoaan
1350618013,,4,Calongbuyan
1350618014,,4,Caterman
1350618015,,4,Cubcubboot
1350618016,,4,Darapidap
1350618017,,4,Langlangca Primero
1350618018,,4,Langlangca Segundo
1350618019,,4,Oaig-Daya
1350618020,,4,Palacapac
1350618021,,4,Paras
1350618022,,4,Parioc Primero
1350618023,,4,Parioc Segundo
1350618024,,4,Patpata Primero
1350618025,,4,Patpata Segundo
1350618026,,4,Paypayad
1350618027,,4,Salvador Primero
1350618028,,4,Salvador Segundo
1350618029,,4,San Agustin
1350618030,,4,San Andres
1350618031,,4,San Antonio
1350618032,,4,San Isidro
1350618033,,4,San Jose
1350618034,,4,San Juan
1350618035,,4,San Nicolas
1350618036,,4,San Pedro
1350618037,,4,Santo Tomas
1350618038,,4,Tablac
1350618039,,4,Talogtog
1350618040,,4,Tamurong Primero
1350618041,,4,Tamurong Segundo
1350618042,,4,Villarica
1350619000,,3,Caoayan
1350619001,,4,Anonang Mayor
1350619002,,4,Anonang Menor
1350619003,,4,Baggoc
1350619004,,4,Callaguip
1350619005,,4,Caparacadan
1350619006,,4,Don Alejandro Quirolgico
1350619007,,4,Don Dimas Querubin
1350619008,,4,Don Lorenzo Querubin
1350619009,,4,Fuerte
1350619010,,4,Manangat
1350619011,,4,Naguilian
1350619012,,4,Nansuagao
1350619013,,4,Pandan
1350619014,,4,Pantay-Quitiquit
1350619015,,4,Pantay Tamurong
1350619016,,4,Puro
1350619017,,4,Villamar
1350620000,,3,Cervantes
1350620001,,4,Aluling
1350620002,,4,Comillas North
1350620003,,4,Comillas South
1350620004,,4,Concepcion
1350620005,,4,Dinwede East
1350620006,,4,Dinwede West
1350620007,,4,Libang
1350620008,,4,Malaya
1350620009,,4,Pilipil
1350620010,,4,Remedios
1350620011,,4,Rosario
1350620012,,4,San Juan
1350620013,,4,San Luis
1350621000,,3,Galimuyod
1350621001,,4,Abaya
1350621002,,4,Baracbac
1350621003,,4,Bidbiday
1350621004,,4,Bitong
1350621005,,4,Borobor
1350621006,,4,Calimugtong
1350621007,,4,Calongbuyan
1350621008,,4,Calumbaya
1350621009,,4,Daldagan
1350621010,,4,Kilang
1350621011,,4,Legaspi
1350621012,,4,Mabayag
1350621013,,4,Matanubong
1350621014,,4,Mckinley
1350621015,,4,Nagsingcaoan
1350621016,,4,Oaig-Daya
1350621017,,4,Pagangpang
1350621018,,4,Patac
1350621019,,4,Poblacion
1350621020,,4,Rubio
1350621021,,4,Sabangan-Bato
1350621022,,4,Sacaang
1350621023,,4,San Vicente
1350621024,,4,Sapang
1350622000,,3,Gregorio Del Pilar
1350622001,,4,Alfonso
1350622002,,4,Bussot
1350622003,,4,Concepcion
1350622004,,4,Dapdappig
1350622005,,4,Matue-Butarag
1350622006,,4,Poblacion Norte
1350622007,,4,Poblacion Sur
1350623000,,3,Lidlidda
1350623001,,4,Banucal
1350623002,,4,Bequi-Walin
1350623003,,4,Bugui
1350623004,,4,Calungbuyan
1350623005,,4,Carcarabasa
1350623006,,4,Labut
1350623007,,4,Poblacion Norte
1350623008,,4,Poblacion Sur
1350623009,,4,San Vicente
1350623010,,4,Suysuyan
1350623011,,4,Tay-Ac
1350624000,,3,Magsingal
1350624001,,4,Alangan
1350624002,,4,Bacar
1350624003,,4,Barbarit
1350624004,,4,Bungro
1350624005,,4,Cabaroan
1350624006,,4,Cadanglaan
1350624007,,4,Caraisan
1350624008,,4,Dacutan
1350624009,,4,Labut
1350624010,,4,Maas-Asin
1350624011,,4,Macatcatud
1350624012,,4,Manzante
1350624013,,4,Maratudo
1350624014,,4,Miramar
1350624015,,4,Namalpalan
1350624016,,4,Napo
1350624017,,4,Pagsanaan Norte
1350624018,,4,Pagsanaan Sur
1350624019,,4,Panay Norte
1350624020,,4,Panay Sur
1350624021,,4,Patong
1350624022,,4,Puro
1350624023,,4,San Basilio
1350624024,,4,San Clemente
1350624025,,4,San Julian
1350624026,,4,San Lucas
1350624027,,4,San Ramon
1350624028,,4,San Vicente
1350624029,,4,Santa Monica
1350624030,,4,Sarsaracat
1350625000,,3,Nagbukel
1350625001,,4,Balaweg
1350625002,,4,Bandril
1350625003,,4,Bantugo
1350625004,,4,Cadacad
1350625005,,4,Casilagan
1350625006,,4,Casocos
1350625007,,4,Lapting
1350625008,,4,Mapisi
1350625009,,4,Mission
1350625010,,4,Poblacion East
1350625011,,4,Poblacion West
1350625012,,4,Taleb
1350626000,,3,Narvacan
1350626001,,4,Abuor
1350626002,,4,Ambulogan
1350626003,,4,Aquib
1350626004,,4,Banglayan
1350626005,,4,Bantay Abot
1350626006,,4,Bulanos
1350626007,,4,Cadacad
1350626008,,4,Cagayungan
1350626009,,4,Camarao
1350626010,,4,Casilagan
1350626011,,4,Codoog
1350626012,,4,Dasay
1350626013,,4,Dinalaoan
1350626014,,4,Estancia
1350626015,,4,Lanipao
1350626016,,4,Lungog
1350626017,,4,Margaay
1350626018,,4,Marozo
1350626019,,4,Naguneg
1350626020,,4,Orence
1350626021,,4,Pantoc
1350626022,,4,Paratong
1350626023,,4,Parparia
1350626024,,4,Quinarayan
1350626025,,4,Rivadavia
1350626026,,4,San Antonio
